material,property,value_and_source,review_status
LNG,密度 density (kg/m^3),414 (﻿[1] NOAA. Liquefied natural gas. 1999. https://doi.org/10.22214/ijraset.2018.1214.),imported_from_excel
LNG vapor (BOG),密度 density (kg/m^3),2.06 (﻿[1] NOAA. Liquefied natural gas. 1999. https://doi.org/10.22214/ijraset.2018.1214.),imported_from_excel
UPE 超高分子量聚乙烯,密度 density (kg/m^3),950,imported_from_excel
LNG,密度随压力和温度的变化 density variation with pressure and temperature,incompressible,imported_from_excel
LNG vapor (BOG),密度随压力和温度的变化 density variation with pressure and temperature,"﻿Benedict– Webb–Rubin (B–W–R) 状态方程 (﻿Chen, Q., Wegrzyn, J., 2004. Analysis of temperature and pressure changes in liquefied natural gas ( LNG ) cryogenic tanks 44, 701–709. https://doi.org/10.1016/j.cryogenics.2004.03.020)",imported_from_excel
UPE 超高分子量聚乙烯,密度随压力和温度的变化 density variation with pressure and temperature,,imported_from_excel
LNG,比热 specific heat Cp (j/kg-k),0.839*4186.8=3.5127e+03 (B4 NOAA. Liquefied natural gas. 1999. https://doi.org/10.22214/ijraset.2018.1214.),imported_from_excel
LNG vapor (BOG),比热 specific heat Cp (j/kg-k),2340 (https://www.engineeringtoolbox.com/specific-heat-capacity-gases-d_159.html),imported_from_excel
UPE 超高分子量聚乙烯,比热 specific heat Cp (j/kg-k),1800 (https://dielectricmfg.com/knowledge-base/uhmw/),imported_from_excel
LNG,热传导系数 thermal conductivity (w/m-k),"188.80e-3 at 110k=-163.15 celsius (﻿Hanley HJM, Haynes WM, Mccarty RD. The viscosity and thermal conductivity coefficients for dense gaseous and liquid methane. J Phys Chem Ref Data 1977;6:597–610. https://doi.org/10.1063/1.555553.)",imported_from_excel
LNG vapor (BOG),热传导系数 thermal conductivity (w/m-k),"13.58e-3 at 115k=-158.15 celsius(﻿Hanley HJM, Haynes WM, Mccarty RD. The viscosity and thermal conductivity coefficients for dense gaseous and liquid methane. J Phys Chem Ref Data 1977;6:597–610. https://doi.org/10.1063/1.555553.)",imported_from_excel
UPE 超高分子量聚乙烯,热传导系数 thermal conductivity (w/m-k),16 (https://www.google.com/search?q=%22UHMW+PE%22+%22thermal+conductivity%22&client=safari&rls=en&sxsrf=ALiCzsbteW1ghQv-xzqUfW3pw-5fcetLMw%3A1671678736764&ei=EMujY62TLoSC-AbAx5XwDQ&ved=0ahUKEwit26HKoIz8AhUEAd4KHcBjBd4Q4dUDCA4&uact=5&oq=%22UHMW+PE%22+%22thermal+conductivity%22&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIECCMQJzIECCMQJzIHCAAQgAQQDToGCAAQHhANSgQIQRgBSgQIRhgAUMkJWJdJYIZLaAFwAHgAgAGlA4gB4gqSAQkwLjYuMS4wLjGYAQCgAQHAAQE&sclient=gws-wiz-serp),imported_from_excel
LNG,动力粘度 dynamic viscosity (kg/m-s=Pa s),0.000146 (﻿[1] NOAA. Liquefied natural gas. 1999. https://doi.org/10.22214/ijraset.2018.1214.),imported_from_excel
LNG vapor (BOG),动力粘度 dynamic viscosity (kg/m-s=Pa s),0.00000435 (https://www.engineeringtoolbox.com/methane-dynamic-kinematic-viscosity-temperature-pressure-d_2068.html),imported_from_excel
UPE 超高分子量聚乙烯,动力粘度 dynamic viscosity (kg/m-s=Pa s),,imported_from_excel
LNG,分子量 molecular weight (kg/kmol),16.04 (https://www.google.com.hk/search?q=methane+molecular+weight&oq=methane+molecular+weight&aqs=edge..69i57j69i59l2j69i60j69i65l2j69i60l3.4591j0j4&sourceid=chrome&ie=UTF-8),imported_from_excel
LNG vapor (BOG),分子量 molecular weight (kg/kmol),16.04 (https://www.google.com.hk/search?q=methane+molecular+weight&oq=methane+molecular+weight&aqs=edge..69i57j69i59l2j69i60j69i65l2j69i60l3.4591j0j4&sourceid=chrome&ie=UTF-8),imported_from_excel
UPE 超高分子量聚乙烯,分子量 molecular weight (kg/kmol),,imported_from_excel
LNG,参考温度 reference temperature (c),-161,imported_from_excel
LNG vapor (BOG),参考温度 reference temperature (c),-160,imported_from_excel
UPE 超高分子量聚乙烯,参考温度 reference temperature (c),,imported_from_excel
LNG,沸点 boiling point/saturation temperature (degree),-162,imported_from_excel
LNG vapor (BOG),沸点 boiling point/saturation temperature (degree),,imported_from_excel
UPE 超高分子量聚乙烯,沸点 boiling point/saturation temperature (degree),,imported_from_excel
LNG,表面张力系数 surface tension (N/m),0.014 (https://cameochemicals.noaa.gov/chris/LNG.pdf),imported_from_excel
LNG vapor (BOG),表面张力系数 surface tension (N/m),,imported_from_excel
UPE 超高分子量聚乙烯,表面张力系数 surface tension (N/m),,imported_from_excel
LNG,临界温度 critical temperature (ºC),−82.1,imported_from_excel
LNG vapor (BOG),临界温度 critical temperature (ºC),Above this temperature no liquid phase exists no matter how large the pressure is,imported_from_excel
UPE 超高分子量聚乙烯,临界温度 critical temperature (ºC),,imported_from_excel
LNG,潜热 latent heat of vaporization (J/kgmol),5.1e5 J/kg = 5.1e5*16.04 J/kmol = 8180400 J/kmol (https://cameochemicals.noaa.gov/chris/LNG.pdf),imported_from_excel
LNG vapor (BOG),潜热 latent heat of vaporization (J/kgmol),,imported_from_excel
UPE 超高分子量聚乙烯,潜热 latent heat of vaporization (J/kgmol),,imported_from_excel
LNG,标准状态焓 standard state enthalpy (j/kmol),Fluent 材料面板中关于物质焓值的设置 (cfd-china.com),imported_from_excel
LNG vapor (BOG),标准状态焓 standard state enthalpy (j/kmol),在相变计算中直接设置液态的焓值为0，气体的焓值为对应的潜热,imported_from_excel
UPE 超高分子量聚乙烯,标准状态焓 standard state enthalpy (j/kmol),,imported_from_excel
